Transfer Size (MB),GPU0 to GPU1 (coherence),GPU0 to GPU2 (coherence),GPU0 to GPU3 (coherence),GPU0 to CPU0 (coherence),GPU0 to CPU1 (coherence),GPU1 to GPU0 (coherence),GPU1 to GPU2 (coherence),GPU1 to GPU3 (coherence),GPU1 to CPU0 (coherence),GPU1 to CPU1 (coherence),GPU2 to GPU0 (coherence),GPU2 to GPU1 (coherence),GPU2 to GPU3 (coherence),GPU2 to CPU0 (coherence),GPU2 to CPU1 (coherence),GPU3 to GPU0 (coherence),GPU3 to GPU1 (coherence),GPU3 to GPU2 (coherence),GPU3 to CPU0 (coherence),GPU3 to CPU1 (coherence),CPU0 to GPU0 (coherence),CPU0 to GPU1 (coherence),CPU0 to GPU2 (coherence),CPU0 to GPU3 (coherence),CPU1 to GPU0 (coherence),CPU1 to GPU1 (coherence),CPU1 to GPU2 (coherence),CPU1 to GPU3 (coherence)
256,25425.74,13027.37,12997.24,13807.85,13984.7,24988.77,13162.48,12858.05,13866.61,13415.47,15397.33,15928.15,24569.16,13851.82,14572.33,13670.01,13648.98,23470.57,14881.84,15043.08,21716.49,21457.68,21138.5,22017.73,23403.56,23313,21140.86,21734.28
384,26611.02,13468.14,14258.61,14270.78,14287.93,26408.52,13715.26,13512.86,14329.24,14335.96,16348.05,15907.02,26032.11,14789.62,15343.59,14058.78,14017.46,25837.89,15515.33,15644,22396.92,22451.16,23712.9,24245.93,22400.97,24150.67,21880.59,21577.59
512,26283.76,13450.53,13434.04,14580.01,14429.67,26176.5,13913.91,13667.82,14755.53,14370.45,13597.06,13466.11,25861.64,14750.35,15395.21,16581.53,16608.11,26423.32,15745.04,15487.65,23926.75,23856.7,21998.04,22397.43,23193.49,23848.06,22138.55,22199.88
768,26788.96,13520.73,13739.27,15066.8,14866.07,26616.99,13777.45,14446.78,15076.71,14999.2,16053.74,15123.1,26146.08,15395.97,15554.01,16931.38,17149.52,25393.94,16211.39,16206.64,24099.66,24267.78,22288.55,22380.6,24179.22,24087.57,22607.56,22583.64
1024,25721.26,14274.41,13789.91,15377.38,15492.44,25566.66,14004.01,13671.71,15434.47,15432.94,16326.64,15343.24,24929.79,15627.3,15573.07,16366.02,16413.78,25656.22,16313.85,15766.9,23743.94,24106.8,22190.16,22181.07,23811.05,23910.18,22417.78,22304.28
1536,23205.82,15138.38,15826.41,16814.66,16115.71,23497.07,14022.37,14958.46,15861.58,15962.6,14566.96,14220.98,23510.39,15705.88,15924.13,15926.91,15604.1,24242.3,16342.43,16481.19,23385.55,23152.99,22108.12,21710.92,23519.71,23179.24,22097.92,21499.55
2048,21254.63,15378.25,15129.54,15953.47,15902.99,21397.43,14903.15,14844.27,15692.15,15833.71,13904.8,12720.1,21362.81,15893.31,16058.33,14785.52,15136.08,24436.28,16758.16,16521.35,22177.19,22284.37,21754.28,21177.66,22255.04,22575.36,21799.43,20477.5
3072,19458.64,16236.38,14419.06,16489.51,16376.64,19282.51,16027.82,14700.29,16256.9,16116.84,12986.35,13342.4,20046.39,16288.54,16219.15,14176.04,14100.2,21774.77,16602.2,17047.42,20229.73,21029.72,22804.44,20965.35,21591.38,21586.2,21376.51,20417.67
4096,18389.47,16446.02,14547.05,16723.86,16496.6,18679.64,14729.51,14104.78,16356.79,16374.42,12623.73,13027.85,18534.33,16023.37,16273.52,12185.77,12764.09,21705.09,16747.06,16742.44,20421.9,20959.27,20083.35,19723.97,20711.12,20457.43,20079.18,20095.94
6144,17862.37,16434.32,14058.6,16578.1,16606.75,18193.63,14739.27,13732.99,16460.51,16370.97,12089.13,12862.7,17939.51,16364.18,16346.18,12654.79,12956.09,21264.16,16707.18,16744.93,19524.1,20257.01,20613.19,19379.6,20354.8,19358.27,20765.02,19680.76
8192,19174.29,16459.45,14578.56,16752.1,16563.59,18530.25,16378.05,14442.98,16480.32,16358.68,12446.06,12665.14,18750.63,16358.98,16128.82,13163.53,13407.81,21576.26,16727.5,16812.98,20743.29,20831.37,21124.29,20202.31,20834.81,21139.12,21145.91,20059.8
12288,18232.97,16751.58,14389.82,16743.24,16734.68,18135.9,16550.35,14453.79,16676.17,16563.62,12399.41,13097.63,18315.61,16685.41,16027.1,13520.97,13562.51,21873.15,16835.2,16752.01,20518.02,20574.83,21397.01,20003.66,20557.11,20136.32,21320.57,20058.72
