Transfer Size (MB),GPU1 to GPU0 (no peer),GPU2 to GPU0 (no peer),GPU3 to GPU0 (no peer),GPU4 to GPU0 (no peer),GPU5 to GPU0 (no peer),GPU6 to GPU0 (no peer),GPU7 to GPU0 (no peer),GPU0 to GPU1 (no peer),GPU2 to GPU1 (no peer),GPU3 to GPU1 (no peer),GPU4 to GPU1 (no peer),GPU5 to GPU1 (no peer),GPU6 to GPU1 (no peer),GPU7 to GPU1 (no peer),GPU0 to GPU2 (no peer),GPU1 to GPU2 (no peer),GPU3 to GPU2 (no peer),GPU4 to GPU2 (no peer),GPU5 to GPU2 (no peer),GPU6 to GPU2 (no peer),GPU7 to GPU2 (no peer),GPU0 to GPU3 (no peer),GPU1 to GPU3 (no peer),GPU2 to GPU3 (no peer),GPU4 to GPU3 (no peer),GPU5 to GPU3 (no peer),GPU6 to GPU3 (no peer),GPU7 to GPU3 (no peer),GPU0 to GPU4 (no peer),GPU1 to GPU4 (no peer),GPU2 to GPU4 (no peer),GPU3 to GPU4 (no peer),GPU5 to GPU4 (no peer),GPU6 to GPU4 (no peer),GPU7 to GPU4 (no peer),GPU0 to GPU5 (no peer),GPU1 to GPU5 (no peer),GPU2 to GPU5 (no peer),GPU3 to GPU5 (no peer),GPU4 to GPU5 (no peer),GPU6 to GPU5 (no peer),GPU7 to GPU5 (no peer),GPU0 to GPU6 (no peer),GPU1 to GPU6 (no peer),GPU2 to GPU6 (no peer),GPU3 to GPU6 (no peer),GPU4 to GPU6 (no peer),GPU5 to GPU6 (no peer),GPU7 to GPU6 (no peer),GPU0 to GPU7 (no peer),GPU1 to GPU7 (no peer),GPU2 to GPU7 (no peer),GPU3 to GPU7 (no peer),GPU4 to GPU7 (no peer),GPU5 to GPU7 (no peer),GPU6 to GPU7 (no peer)
384,9163.59,9927.25,9927.95,10069.1,10073.23,10070.78,10070.56,9102.6,10038.7,10038.09,10074.01,10076.36,10074.34,10072.05,9972.98,9977.02,9162.36,10058.58,10062.31,10059.23,10058.72,9934.33,9923.31,9173.87,10066.2,10067.65,10065.39,10063.41,10063.56,10059.63,10060.85,10058.98,9150.09,9980.02,9971.87,10060.81,10058.81,10059.59,10056.56,9138.74,9903.99,9899.32,10057.84,10061.76,10063.82,10059.37,9862.85,9859.31,9184.34,10035.53,10040.51,10038.98,10036.98,9880.66,9885.31,9169.68
512,9162.16,9931.28,9935.85,10074.26,10074.93,10075.91,10073.38,9153.87,10055.11,10049.52,10080.86,10082.42,10078.88,10079.32,9995.57,9992,9160.78,10064.24,10065.85,10062.08,10064.39,9947.52,9939.25,9166.14,10072.92,10072.27,10072.53,10072.31,10067.38,10066.97,10066.93,10069.02,9154.49,9986.72,9985.2,10066.83,10063.76,10066.19,10060.87,9153.36,9909.41,9908.61,10064.7,10064.17,10063.76,10063.54,9878.07,9872.22,9186.67,10041.68,10043.29,10044.36,10043.73,9894.11,9892.15,9176.23
768,9130.5,9941.89,9946.49,10079.35,10080.67,10086.38,10085.42,9115.24,10062.9,10057.59,10088.77,10087.79,10087.03,10086.63,10007.43,10011.87,9124.79,10070.71,10075,10075.64,10075.16,9950.65,9947.41,9128.03,10078.79,10078.12,10079.97,10079.66,10073.25,10074.98,10076.43,10069.49,9128.15,9985.84,9978.96,10071.43,10076.05,10076.62,10070.9,9145.36,9915.41,9909.57,10073.19,10077.4,10075.41,10073.84,9871.54,9873.78,9160.9,10050.21,10054.35,10054.02,10048.38,9900.18,9898.71,9136.19
1024,9111.83,9942.37,9946.07,10080.87,10084.56,10082.31,10079.31,9105.32,10059.33,10061.11,10088.95,10089.48,10091.34,10093.3,10002.55,10006.12,9106.52,10073.81,10078.77,10073.58,10077.18,9950.53,9943.07,9113.07,10083.04,10080.54,10082.35,10080.75,10076.36,10076.09,10076.31,10078.36,9109.97,9994.37,9995.02,10075.88,10079.76,10080.13,10072.61,9112.81,9923.75,9921.2,10076.59,10081.33,10081.23,10077.06,9873.65,9885.37,9135.27,10053.66,10051.61,10055.1,10053.2,9909.49,9906.65,9111.94
1536,9116.21,9945.66,9950.33,10085.76,10084.82,10085.16,10083.4,9086.31,10076.89,10072.48,10092.62,10093.25,10090.51,10086.63,10015.83,10019.47,9098.32,10081.16,10081.63,10077.92,10081.86,9954.25,9952.87,9093.98,10082.4,10084.17,10086.83,10085.39,10081.63,10082.72,10082.47,10079.06,9096.13,9998.23,9990.53,10082.17,10081.73,10083.29,10080.8,9108.58,9923.79,9917.77,10078.08,10084.06,10083.45,10079.58,9875.92,9873.77,9118.38,10056.9,10062.49,10061.72,10059.41,9905.63,9904.49,9108.66
2048,9085.31,9947.51,9952.66,10086.73,10088.95,10088.26,10087.69,9069.56,10084.52,10084.88,10093.86,10095.3,10089.75,10090.74,10020.78,10020.95,9080.79,10080.42,10080.32,10079.24,10079.8,9958.52,9958.42,9099.06,10089.16,10087.72,10087.06,10085,10081.5,10082.89,10083.93,10080.84,9095.52,9998.82,9997.04,10084.82,10084.89,10084.95,10081.45,9096.41,9923.85,9920.59,10081.26,10084.63,10084.39,10075.78,9891.32,9890.31,9099.98,10056.89,10062.27,10062.11,10060.03,9906.01,9913.6,9102.65
3072,9084.28,9947.13,9952.85,10086.93,10088.01,10087.01,10087.81,9065.49,10080.34,10080.38,10092.51,10101.03,10090.91,10091.49,10013.54,10018.73,9073.06,10083.55,10082.53,10082.71,10080.69,9958.82,9958.48,9086.66,10086.91,10088.02,10086.74,10085.77,10081.77,10083.17,10084.14,10080.6,9072.74,9997.5,10000.6,10076.52,10080.37,10086.56,10083.79,9089.44,9923.66,9919.34,10077.35,10079.86,10084.85,10082.89,9876.57,9880.14,9098.42,10060.82,10064.37,10063.04,10061.11,9917.68,9906.69,9089.36
4096,9070.27,9948.51,9952.85,10086.59,10088.19,10086.86,10087.29,9060.51,10086.49,10079.73,10102.59,10092.23,10090.05,10092.3,10025.76,10026.18,9067.5,10081.54,10082.83,10080.58,10081.7,9958.79,9955.59,9070.75,10086.57,10086.54,10086.54,10087.05,10083.59,10084.71,10081.98,10083.52,9081.32,9999.37,9996.4,10085.36,10087.1,10086.78,10084.06,9087.69,9923.53,9921.06,10082.53,10087.61,10087.55,10082.57,9878.14,9881.18,9094,10060.69,10062.03,10063.07,10060.65,9907.43,9906.59,9083.51
6144,9065.71,9948.38,9955.13,10088.64,10089.84,10089.29,10087.76,9056.05,10085.71,10084.8,10093.01,10094.3,10099.81,10093.05,10020.26,10022.22,9063.45,10081.96,10083.46,10082.3,10081.07,9962.72,9962.3,9065.52,10087.57,10087.53,10088.95,10086.68,10083.02,10083.14,10084.05,10084.13,9074.96,9996.91,9995.56,10084.49,10086.4,10087.46,10085.69,9085.35,9924.03,9923.24,10083.98,10085.51,10088.08,10080.58,9895.08,9883.08,9091.99,10063.4,10063.81,10063.15,10061.83,9907.08,9907.08,9081.58
8192,9067.27,9961.53,9963.49,10135.58,10098.42,10131.69,10154.16,9051.39,10088.44,10088.96,10095.53,10091.84,10093.03,10132.48,10037.81,10028.35,9060.17,10111.46,10105.16,10110.17,10131.62,9969.84,9967.18,9062.62,10089.41,10142.54,10127.24,10151.33,10139.84,10147.42,10085.9,10109.13,9071.64,10012.91,10001.58,10149.23,10144.92,10138.4,10141.35,9076.64,9927.84,9933.8,10144.53,10127.62,10151.16,10144.08,9891.44,9881.57,9089.35,10114.61,10084.09,10128.78,10134.22,9905.51,9906.04,9076.59
12288,9058.54,9960.08,9964.08,10145.75,10148.32,10097.7,10147.65,9051.74,10088.34,10092.24,10146.09,10090.71,10142.22,10136.43,10021.6,10023.79,9058.2,10136.82,10144.19,10138.69,10129.12,9963.64,9960.18,9060.1,10157.68,10087.62,10156.96,10153.49,10086.29,10087.99,10143.11,10146.2,9067.06,10007.72,10003.05,10078.04,10149.39,10086.34,10146.13,9063.22,9928.65,9927.92,10139.84,10081.53,10121.36,10130.25,9881.02,9883.24,9085.98,10101.41,10066.34,10131.71,10131.12,9918.18,9918.43,9073.83
