Transfer Size (MB),GPU1 to GPU0 (peer),GPU2 to GPU0 (peer),GPU3 to GPU0 (peer),GPU0 to GPU1 (peer),GPU2 to GPU1 (peer),GPU3 to GPU1 (peer),GPU0 to GPU2 (peer),GPU1 to GPU2 (peer),GPU3 to GPU2 (peer),GPU0 to GPU3 (peer),GPU1 to GPU3 (peer),GPU2 to GPU3 (peer)
8,57766.32,26112.39,26073.58,57767.57,26090.76,26043.62,26091.61,26008.73,57132.65,26144.9,26072.47,57115.52
12,60710.31,26601.99,26588.08,60543.68,26661.69,26644.23,26715.7,26531.47,60204.09,26715.47,26676.98,60167.26
16,62169.48,26968.13,26971.9,62166.34,26966.85,26965.4,27020.04,26768.03,61816.4,27022.33,27009.6,61831.69
24,63823.85,27359.59,27154.02,63764.67,27324.46,27174.59,27318.17,27139.28,63576.5,27403.86,27209.65,63546.7
32,64633.02,27518.36,27288.36,64641.11,27447.76,27369.21,27470.92,27312.42,64436.23,27560.29,27385.7,64454.66
48,65516.85,27584.54,27480.14,65487.26,27639.28,27534.46,27622.08,27498.07,65414.61,27726.45,27590.55,65396.08
64,65949.74,27704.08,27504.38,65939.07,27724.11,27600.08,27672.71,27569.57,65867.54,27794.41,27641.08,65851.21
96,66403.91,27764.27,27565.71,66400.92,27932.81,27758.94,27854.09,27662.33,66358.7,27963.86,27778.15,66347.83
128,66646.46,27859.17,27685.1,66633.63,28030.15,27845.22,27943.38,27802.84,66602.53,28041.13,27832.96,66593.34
192,66864.87,27990.46,27845.01,66868.83,28063.65,27889.74,27963.38,27798.91,66835.91,28087.75,27875.7,66838.73
256,66952.79,28002.3,27849.21,66951.38,28079.11,27909.19,27978.77,27810.24,66924.31,28092.64,27877.6,66926.11
384,67073.53,28017.9,27882,67072.72,28094.94,27942.29,27986.15,27843.9,67060.16,28096.52,27911.02,67057.71
512,67138.14,28026.95,27868.63,67136.8,28100.91,27959.47,28024.19,27842.7,67118.84,28095.91,27918.84,67122.65
768,67195,28040.03,27864.84,67194.92,28109.41,27979.21,28014.48,27844.18,67186.61,28112.5,27928.05,67185.53
1024,67224.82,28037.96,27877.53,67224.9,28131.93,27970.39,28027.09,27850.21,67219.44,28125.4,27930.02,67219.78
1536,67256,28043.22,27883.22,67257.4,28125.79,27973.65,28019.47,27848.58,67253.33,28121.01,27930.71,67254.1
2048,67273.13,28038.55,27886.8,67273.01,28127.45,27976.52,28017.83,27855.96,67270.1,28122.74,27939.76,67270.24
3072,67288.35,28039.1,27889.81,67288.5,28127.14,27825.32,28019.53,27708.72,67286.55,28121.77,27947.96,67286.25
4096,67296.36,28037.92,27896.23,67295.39,28132.64,27974.27,28027.33,27855.99,67295.29,28119.89,27946.89,67294.83
6144,67046.55,28034.17,27892.12,67050.49,27964.34,27808.77,28031.79,27856.31,67046.71,28112.32,27932.57,67047.13
8192,66925.72,28034.2,27747.93,66928.59,27954.97,27816.03,28031.58,27857.75,66926,28100.56,27927.38,66925.54
12288,66806.04,27888.86,27745.39,66806.33,28092.93,27812.95,28029.16,27714.48,66805.18,28089.29,27914.78,66805.94
