Transfer Size (MB),CPU0 to GPU0 (pinned),CPU0 to GPU1 (pinned),CPU0 to GPU2 (pinned),CPU0 to GPU3 (pinned),CPU8 to GPU0 (pinned),CPU8 to GPU1 (pinned),CPU8 to GPU2 (pinned),CPU8 to GPU3 (pinned),GPU0 to CPU0 (pinned),GPU1 to CPU0 (pinned),GPU2 to CPU0 (pinned),GPU3 to CPU0 (pinned),GPU0 to CPU8 (pinned),GPU1 to CPU8 (pinned),GPU2 to CPU8 (pinned),GPU3 to CPU8 (pinned)
32.000000,61867.43,61529.47,35634.19,35817.94,35175.93,35109.35,61729.82,61721.01,55587.98,56064.42,26815.09,26425.75,27035.84,27177.19,57097.59,57130.21
48.000000,62571.70,62397.87,36024.00,36111.08,35460.42,35366.02,62488.77,62578.14,57478.90,57337.19,27607.93,28051.67,27895.93,27679.30,58276.47,58440.80
64.000000,63154.11,63057.67,36216.06,36163.10,35564.78,35515.19,63135.80,63089.12,59279.02,59062.00,29094.23,29394.78,29207.83,28821.07,59737.60,59745.74
96.000000,63577.09,63496.09,36256.24,36316.08,35783.50,35702.44,63589.13,63596.92,60676.20,60723.75,31002.87,31000.81,30670.37,30706.54,60996.34,61055.65
128.000000,63856.23,63808.45,37019.38,37024.46,36701.23,36416.88,63978.85,63876.59,61671.74,61456.26,32218.64,32382.56,32111.77,32137.12,61937.96,61882.32
192.000000,64165.35,64177.21,39368.65,39391.32,39382.47,39429.19,64151.46,64139.27,62364.25,62307.14,32899.38,32664.08,33112.62,32668.23,62572.70,62553.15
256.000000,64277.68,64174.70,39516.74,39487.65,39529.64,39510.89,64251.72,64258.80,62807.97,62768.25,33378.26,33275.82,33588.30,33212.85,62842.37,62878.28
384.000000,64349.17,64272.82,39631.28,39587.69,39568.93,39595.23,64326.46,64366.96,63081.42,63030.11,33602.27,33467.27,33865.92,33561.29,62983.58,63022.69
512.000000,64470.33,64301.49,39659.63,39674.47,39677.29,39650.64,64357.98,64363.55,63087.42,63029.54,33682.10,33509.04,34013.20,33577.56,67163.62,63035.76
768.000000,67162.02,67162.85,39681.80,39702.85,39703.44,39701.65,67177.74,67175.17,67221.75,67214.78,33685.54,33540.10,34016.37,33715.39,67218.66,67217.49
1024.000000,67196.00,67192.28,39456.93,39457.52,39718.28,39395.58,67210.55,67198.13,67246.49,67249.73,33856.47,33560.48,34058.72,33805.55,67244.56,67246.44
1536.000000,67226.50,67212.65,39581.88,39594.43,39721.80,39548.00,67231.25,67220.99,67270.59,67270.24,33881.07,33543.21,34040.51,33854.34,67270.53,67269.87
2048.000000,67236.52,67229.14,39654.06,39675.69,39647.32,39672.92,67246.48,67230.37,67282.48,67281.72,34024.33,33533.68,34019.54,33894.06,67282.21,67283.24
3072.000000,67247.86,67243.74,39708.46,39703.32,39715.61,39735.83,67262.16,67243.91,67294.82,67295.70,33941.48,33516.33,34033.91,33868.36,67295.22,67294.50
4096.000000,67255.33,67252.12,39720.41,39722.12,39742.50,39739.03,67263.32,67249.77,67301.32,67300.43,33788.77,33697.79,34073.25,33889.49,67301.46,67301.05
6144.000000,67106.84,67097.40,39513.13,39520.87,39527.71,39522.99,67100.03,67093.82,67043.41,67048.66,33910.80,33483.14,34143.65,33821.28,67043.59,67049.23
8192.000000,67038.92,67013.64,39399.64,39406.50,39421.18,39415.33,67020.26,67029.39,66916.40,66924.37,34029.78,33722.13,34113.94,33731.83,66915.47,66925.00
12288.000000,66950.83,66931.85,39305.93,39318.67,39315.22,39317.25,66953.75,66940.12,66788.46,66801.75,33981.82,33821.64,34083.73,33723.56,66787.77,66801.72
